コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","-op8","ATLAS チタンサラHEXビス　【M3】","ラジコンカー\RCアクセサリー\ネジ類","100002","http://item.rakuten.co.jp/sportshobby/c/0000000652/",""
"","000","スポーツホビー　予約品購入","その他","1001","http://item.rakuten.co.jp/sportshobby/c/0000000001/",""
"","0000","スポーツホビー　予約品購入　＃2","その他","1001","http://item.rakuten.co.jp/sportshobby/c/0000000001/",""
"","000133","BR Wood Box (木箱)","ラジコンカー\クローラー\スケールエクステリア","999999999","http://item.rakuten.co.jp/sportshobby/c/0000000373/",""
"","001","RC4WD Trail Finder 2 Truck Kit 【オリジナルボディーレス】","ラジコンカー\クローラー\スケールトラックキット","2","http://item.rakuten.co.jp/sportshobby/c/0000000358/",""
"","006","イーグル シリコンコード付7.2Vコネクター (ゴールド) ペア","ラジコンカー\RCアクセサリー\コネクター類","110004","http://item.rakuten.co.jp/sportshobby/c/0000000653/",""
"","0302-949","ヒロボー　S.R.B クオーク STDスタンダード (フルセット)シルバー／72MHz","ヘリコプター\小型ヘリコプター\シングルローター機　（初級～中級向）","400","http://item.rakuten.co.jp/sportshobby/c/0000000607/",""
"","0304-007","ヒロボー LEX メインマスト","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-008","ヒロボー LEX スワッシュプレート120° 【0304-008】","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-009","ヒロボー LEX スタビライザーブレード 【0304-009】","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-022","ヒロボー LEX オートロケース","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-023","ヒロボー LEX オートロ軸","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-025","ヒロボー LEX メインギヤ　94T　【0304-025】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-026","ヒロボー LEX ピニオンギヤ　24T　【0304-026】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-027","ヒロボー LEX ピニオンギヤ　26T　【0304-027】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-028","ヒロボー LEX メインフレーム（カーボン）","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-029","ヒロボー LEX マグネシウムセンターフレーム","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-030","ヒロボー LEX ガイドプーリーセット","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-031","ヒロボー LEX テールブームホルダー","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-032","ヒロボー LEX φ16 Beg.ホルダー","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-033","ヒロボー LEX SWM サーボマウント","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-034","ヒロボー LEX バッテリーホルダー　【0304-034】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-036","ヒロボー LEX ラダーサーボプレート","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-037","ヒロボー LEX フロントステー","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-038","ヒロボー LEX ボディマウント　【0304-038】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-039","ヒロボー LEX SWM フロントレバー 【0304-039】","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-040","ヒロボー LEX SWM レバーシャフト 【0304-040】","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-041","ヒロボー LEX SWM　トルクレバー　【0304-041】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-044","ヒロボー LEX テール軸 【0304-044】","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-045","ヒロボー LEX テールプーリー 14T","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-046","ヒロボー LEX テールハウジング","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-047","ヒロボー LEX テールピッチプレートセット","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-048","ヒロボー LEX テールピッチレバー　【0304-048】","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-049","ヒロボー LEX テールピッチレバーステー","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-050","ヒロボー LEX テールブレードホルダー","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-053","ヒロボー LEX 水平尾翼バンド","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-056","ヒロボー LEX スキッド","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-057","ヒロボー LEX キャビン","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-058","ヒロボー LEX キャノピー","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-065","ヒロボー LEX テールホルダー","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-070","ヒロボー LEX ホリゾンタルフィン　【0304-070】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-072","ヒロボー LEX ピニオンギヤ　23T　【0304-072】","ヘリコプター\処分特価パーツ【ヘリ】","172319","http://item.rakuten.co.jp/sportshobby/c/0000000673/",""
"","0304-075","ヒロボー LEX テールブレード　L＝64　【0304-075】","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0304-076","ヒロボー LEX 尾翼セット","ヘリコプター\処分特価パーツ【ヘリ】\HIROBO　レプトン","172319","http://item.rakuten.co.jp/sportshobby/c/0000000688/",""
"","0406-903","ヒロボー 50スケール バートル ウレタン塗装済 FRPボディ付組立キット CH-46 USマリーン","ヘリコプター\ヘリコプターキット","1","http://item.rakuten.co.jp/sportshobby/c/0000000666/",""
"","0406-906","ヒロボー　50スケール チヌーク ウレタン塗装済 FRPボディ付組立キット HC-1　ロイヤルエアフォース","ヘリコプター\ヘリコプターキット","1","http://item.rakuten.co.jp/sportshobby/c/0000000666/",""
"","0414-932","ヒロボー　90スケール トウコブラAH-1S3　迷彩塗装済みボディ付・組立キット　+オプション３点セット","ヘリコプター\ヘリコプターキット","1","http://item.rakuten.co.jp/sportshobby/c/0000000666/",""
"","062","ブラックホースモデル　Gilmore Red Lion GS (50cc) Oracover  ギルモア","飛行機\エンジン機\ブラックホースモデル","2500","http://item.rakuten.co.jp/sportshobby/c/0000000137/",""
"","064","ブラックホースモデル　Corsair GS (62cc) Oracover コルセア","飛行機\エンジン機\ブラックホースモデル","2500","http://item.rakuten.co.jp/sportshobby/c/0000000137/",""
"","10000015","天空の城ラピュタ ロボット兵　オルゴール","雑貨\天空の城 ラピュタ\オルゴール","2005","http://item.rakuten.co.jp/sportshobby/c/0000000293/",""
"","10000017","魔女の宅急便 キキのチョコケーキ アクセサリーケース","雑貨\魔女の宅急便\インテリア雑貨","60","http://item.rakuten.co.jp/sportshobby/c/0000000285/",""
"","10000020","となりのトトロイメージトレイ ネコバス","雑貨\となりのトトロ\インテリア雑貨","1055","http://item.rakuten.co.jp/sportshobby/c/0000000277/",""
"","10000021","崖の上のポニョ　ふりふりポニョ","雑貨\崖の上のポニョ\その他","1001","http://item.rakuten.co.jp/sportshobby/c/0000000306/",""
